id,ignore,catalog,title,description,Theme,keywords_list,version,doi,layer_unit,contact_name,contact_email,providers_list,license,constellation_list,platform,instruments_list,gsd,start_date,end_date,date_step,date_offset,date_unit,date_style,ignore_29feb,depth_list,sld_url,qml_url,main_url,url_1,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10,url_11,url_12,url_13,url_14,url_15,url_16,url_17,url_18,url_19,url_20,url_21,url_22,url_23,url_24
no2_s5p.l3.trop.tmwm,0,openlandmap,Sentinel-5P monthly tropospheric nitrogen dioxide density,"Nitrogen Dioxide Density monthly median value May 2018 – November 2022. Derived using the [eumap package in Python](https://eumap.readthedocs.io). We derived three standard statistics: (1) 10th percentile (p10), median (m), and 90th percentile (p10).",Orthoimagery,"sentinel5,tropomi",v20221219,https://doi.org/10.5281/zenodo.7464099,µmol m-2,Yu Feng Ho,yu-feng.ho@opengeohub.org,"copernicus,opengeohub",CC-BY-SA-4.0,,sentinel-5p,tropomi,2000,2018-05-01,2022-11-30,1,,months,interval,0,,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.sld,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.qml,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm_p50_2km_a_{dt}_go_epsg.4326_v20221219.tif,,,,,,,,,,,,,,,,,,,,,,,,
no2_s5p.l3.trop.tmwm.ltm,0,openlandmap,Sentinel-5P long-term tropospheric nitrogen dioxide density,"Nitrogen Dioxide Density long term quantile from monthly median value May 2018 – November 2022. Derived using the [eumap package in Python](https://eumap.readthedocs.io). We derived three standard statistics: (1) 10th percentile (p10), median (m), and 90th percentile (p10).",Orthoimagery,"sentinel5,tropomi",v20221219,https://doi.org/10.5281/zenodo.7464099,µmol m-2,Yu Feng Ho,yu-feng.ho@opengeohub.org,"copernicus,opengeohub",CC-BY-SA-4.0,,sentinel-5p,tropomi,2000,2018-05-01,2022-11-30,,,static,interval,0,,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.sld,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.qml,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.p50_p50_2km_a_{dt}_go_epsg.4326_v20221219.tif,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.p50_p10_2km_a_{dt}_go_epsg.4326_v20221219.tif,https://s3.openlandmap.org/arco/no2_s5p.l3.trop.tmwm.p50_p90_2km_a_{dt}_go_epsg.4326_v20221219.tif,,,,,,,,,,,,,,,,,,,,,,
log.oc_iso.10694,0,openlandmap,OpenLandMap annual soil organic carbon,Log organic carbon [g/kg] predicted at various soil depths,Geology and Soils,openlandmap,v20230608,,g/kg (log scale),Tom Hengl,tom.hengl@opengeohub.org,opengeohub,CC-BY-SA-4.0,,,,1000,1982-01-01,2018-12-31,1,,years,interval,0,"s,b30cm",https://s3.openlandmap.org/arco/log.oc_iso.10694.sld,https://s3.openlandmap.org/arco/log.oc_iso.10694.qml,https://s3.openlandmap.org/arco/log.oc_iso.10694_m_1km_{dp}_{dt}_go_espg.4326_v20230608.tif,,,,,,,,,,,,,,,,,,,,,,,,
evi_mod13q1.stl.trend.logit.ols.beta,0,openlandmap,MOD13Q1 long-term Enhanced Vegetation Index (EVI - trend analysis),Analysis-ready EVI trend component based on MOD13Q1 by every two months and fully gapfilled. The trend component was derived by [Season-Trend decomposition using LOESS](https://www.statsmodels.org/dev/generated/statsmodels.tsa.seasonal.STL.html#statsmodels.tsa.seasonal.STL).,Orthoimagery,"modis,mod13q1,evi",v20230608,,slope (ols),Leandro Parente,leandro.parente@opengeohub.org,"lp_daac,opengeohub",CC-BY-SA-4.0,,terra,modis,250,2000-01-01,2020-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/evi_mod13q1.stl.trend.logit.ols.beta.sld,https://s3.openlandmap.org/arco/evi_mod13q1.stl.trend.logit.ols.beta.qml,https://s3.openlandmap.org/arco/evi_mod13q1.stl.trend.logit.ols.beta_m_250m_s_{dt}_go_espg.4326_v20230608.tif,,,,,,,,,,,,,,,,,,,,,,,,
land.cover_esacci.lc.l4,0,openlandmap,ESA CCI annual land cover,Based on the European Space Agency (ESA) Climate Change Initiative (ESACCI-LC).,Land Cover and Land Use,"esacci,landcover",v20230608,,class,Tom Hengl,tom.hengl@opengeohub.org,"esa_cci,opengeohub",CC-BY-SA-4.0,,,,250,1992-01-01,2020-12-31,1,,years,interval,0,,https://s3.openlandmap.org/arco/land.cover_esacci.lc.l4.sld,https://s3.openlandmap.org/arco/land.cover_esacci.lc.l4.qml,https://s3.openlandmap.org/arco/land.cover_esacci.lc.l4_c_250m_s_{dt}_go_espg.4326_v20230608.tif,,,,,,,,,,,,,,,,,,,,,,,,
evi_mod13q1.tmwm.inpaint,0,openlandmap,MOD13Q1 bi-monthly Enhanced Vegetation Index Index (EVI),"Analysis-ready EVI based on MOD13Q1 aggregated by every two months, according to the percentile 90th, and fully gapfilled. The gapfilling was based in 1) [Temporal Moving Window Median](https://eumap.readthedocs.io/en/latest/_autosummary/eumap.gapfiller.TMWM.html#eumap.gapfiller.TMWM) algorithm, and 2) [inpating](https://eumap.readthedocs.io/en/latest/_autosummary/eumap.gapfiller.InPainting.html) technique.",Orthoimagery,"modis,mod13q1,evi",v20230608,,index,Leandro Parente,leandro.parente@opengeohub.org,"lp_daac,opengeohub",CC-BY-SA-4.0,,terra,modis,250,2000-01-01,2020-12-31,2,,months,interval,1,,https://s3.openlandmap.org/arco/evi_mod13q1.tmwm.inpaint.sld,https://s3.openlandmap.org/arco/evi_mod13q1.tmwm.inpaint.qml,https://s3.openlandmap.org/arco/evi_mod13q1.tmwm.inpaint_p.90_250m_s_{dt}_go_epsg.4326_v20230608.tif,,,,,,,,,,,,,,,,,,,,,,,,
dtm.bareearth_ensemble,0,openlandmap,OpenLandMap ensemble digital terrain model,"Derived using ALOS AW3D, GLO-30, MERITDEM, and national DTMs, considering the lower 10% quantile from all input layers. In order to create bare earth data, we used canopy height (canopy height > 2m) and standard deviation (sd > 6m) to mask building and forest in AW3D and GLO-30. ",Elevation and Depth,"alos,aw3d,glo-30,merit,dem,dtm,canopy",v20230211,https://doi.org/10.5281/zenodo.7676373,meter,Yu Feng HO,yu-feng.ho@opengeohub.org,"alos_eorc,copernicus,yamazaki_lab,opengeohub",CC-BY-SA-4.0,,,,30,2018-01-01,2018-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/dtm.bareearth_ensemble.sld,https://s3.openlandmap.org/arco/dtm.bareearth_ensemble.qml,https://s3.openlandmap.org/arco/dtm.bareearth_ensemble_p10_30m_s_{dt}_go_epsg.4326_v20230211.tif,https://s3.openlandmap.org/arco/dtm.bareearth_ensemble_std_30m_s_{dt}_go_epsg.4326_v20230211.tif,https://s3.openlandmap.org/arco/dtm.bareearth_ensemble_p10_250m_s_{dt}_go_epsg.4326_v20230211.tif,https://s3.openlandmap.org/arco/dtm.bareearth_ensemble_std_250m_s_{dt}_go_epsg.4326_v20230211.tif,,,,,,,,,,,,,,,,,,,,,
fapar_essd.lstm,0,openlandmap,Monthly fraction of absorbed photosynthetically active radiation (FAPAR),"The monthly aggregated Fraction of Absorbed Photosynthetically Active Radiation (FAPAR) dataset is derived from 250m 8d GLASS V6 FAPAR, considering several other FAPAR products (MODIS Collection 6, GLASS FAPAR V5, and PROBA-V1 FAPAR) to generate a bidirectional long-short-term memory (Bi-LSTM) model to adjust and harmonize FAPAR across two decades. The monthly aggregation includes three standard statistics: (1) 5th percentile (p05), median (p50), and 95th percentile (p95). For each month, we aggregate all composites within that month plus one composite each before and after, ending up with 5 to 6 composites for a single month depending on the number of images within that month.",Biodiversity and Nature Conservation,"glass,modis,lai,lstm,proba-v",v20230628,https://doi.org/10.5281/zenodo.8408654,index,Yu Feng HO,yu-feng.ho@opengeohub.org,"hk_geog,opengeohub",CC-BY-SA-4.0,,,,250,2000-03-01,2021-12-31,1,,months,interval,0,,https://s3.openlandmap.org/arco/fapar_essd.lstm.sld,https://s3.openlandmap.org/arco/fapar_essd.lstm.qml,https://s3.openlandmap.org/arco/fapar_essd.lstm_p50_250m_s_{dt}_go_epsg.4326_v20230628.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm_p05_250m_s_{dt}_go_epsg.4326_v20230628.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm_p95_250m_s_{dt}_go_epsg.4326_v20230628.tif,,,,,,,,,,,,,,,,,,,,,,
fapar_essd.lstm.p95.beta,0,openlandmap,Long-term fraction of absorbed photosynthetically active radiation (FAPAR - trend analysis),"The monthly aggregated Fraction of Absorbed Photosynthetically Active Radiation (FAPAR) dataset is derived from 250m 8d GLASS V6 FAPAR, considering several other FAPAR products (MODIS Collection 6, GLASS FAPAR V5, and PROBA-V1 FAPAR) to generate a bidirectional long-short-term memory (Bi-LSTM) model to adjust and harmonize FAPAR across two decades. The trend analysis provides OLS model for the p95 time-series including: (1) slope beta mean (p95.beta_m), p-value for beta (p95.beta_pv), intercept alpha mean (p95.alpha_m), p-value for alpha (p95.alpha_pv), and coefficient of determination R2 (p95.r2_m).",Biodiversity and Nature Conservation,"glass,modis,lai,lstm,proba-v",v20230619,https://doi.org/10.5281/zenodo.8399173,,Leandro Parente,leandro.parente@opengeohub.org,"hk_geog,opengeohub",CC-BY-SA-4.0,,,,250,2000-03-01,2021-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.beta.sld,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.beta.qml,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.beta_m_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.beta_sd_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.beta_tv_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.beta_pv_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.alpha_tv_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.alpha_m_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.alpha_pv_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.alpha_sd_250m_s_{dt}_go_epsg.4326_v20230619.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95.r2_m_250m_s_{dt}_go_epsg.4326_v20230619.tif,,,,,,,,,,,,,,,,
pot.fapar_fapar.p95.eml.m,0,openlandmap,Annual potential fraction of absorbed photosynthetically active radiation (FAPAR - 2021),"Potential FAPAR predicted by fitting an ensemble ML model using globally distributed training points (cca 3 Mio) and a set of 52 biophysical covariates including several layers related to human pressure. The spatial layers include 1) yearly average of potential FAPAR + model deviance, 2) yearly average of FAPAR (P50). ",Biodiversity and Nature Conservation,"fapar,eml,potential",v20230929,https://doi.org/10.5281/zenodo.8404153,index,Julia Hackländer,julia.hacklaender@opengeohub.org,opengeohub,CC-BY-SA-4.0,,,,250,2021-01-01,2021-12-31,,,static,interval,0,,https://s3.openlandmap.org/arco/fapar_essd.lstm.sld,https://s3.openlandmap.org/arco/fapar_essd.lstm.qml,https://s3.openlandmap.org/arco/pot.fapar_fapar.p95.eml.m_m_250m_s_{dt}_go_epsg.4326_v20230929.tif,https://s3.openlandmap.org/arco/pot.fapar_fapar.p95.eml.md_m_250m_s_{dt}_go_epsg.4326_v20230929.tif,https://s3.openlandmap.org/arco/fapar_essd.lstm.p95_m_250m_s_{dt}_go_epsg.4326_v20230929.tif,,,,,,,,,,,,,,,,,,,,,,
